Model,Experiment_Type,AUPRC,Precision,Recall,F1_Score,ROC_AUC,True_Negatives,False_Positives,False_Negatives,True_Positives
Logistic Regression,Baseline,0.7388333546360646,0.8289473684210527,0.6428571428571429,0.7241379310344828,0.9572334420543681,56851,13,35,63
Random Forest,Baseline,0.8733910547021404,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9630272515590367,56859,5,18,80
Xgboost,Baseline,0.7972912780329893,0.8666666666666667,0.7959183673469388,0.8297872340425532,0.9389517272862999,56852,12,20,78
LightGBM,Baseline,0.03153565876001495,0.07936507936507936,0.30612244897959184,0.12605042016806722,0.46753388679613656,56516,348,68,30
