Model,Experiment_Type,AUPRC,Precision,Recall,F1_Score,ROC_AUC,True_Negatives,False_Positives,False_Negatives,True_Positives
Logistic Regression,SMOTE,0.7250575063969292,0.058862001308044476,0.9183673469387755,0.11063306699446834,0.9712055545347008,55425,1439,8,90
Random Forest,SMOTE,0.870587753931471,0.8631578947368421,0.8367346938775511,0.8497409326424871,0.9733746217254486,56851,13,16,82
Xgboost,SMOTE,0.8651702449438611,0.711864406779661,0.8571428571428571,0.7777777777777778,0.9827422105589563,56830,34,14,84
LightGBM,SMOTE,0.7754702766028684,0.4913294797687861,0.8673469387755102,0.6273062730627307,0.9440683930437679,56776,88,13,85
